Station,Early,A.M. Peak,Inter peak,P.M. Peak,Evening,Total
Acton Town                         ,550,3035,2520,1711,853,8669
Aldgate                            ,157,1903,2157,5022,1390,10629
Aldgate East                       ,196,2134,4564,5326,2878,15098
Alperton                           ,380,1641,1200,883,408,4512
Amersham                           ,457,1677,703,497,121,3455
Angel                              ,334,4456,7192,8764,6938,27684
Archway                            ,392,4811,3940,2801,1335,13279
Arnos Grove                        ,430,2892,1762,1063,458,6605
Arsenal                            ,156,2261,1243,691,391,4742
Baker Street                       ,565,6273,13000,14822,8503,43163
Balham                             ,786,8301,3650,2920,1849,17506
Bank & Monument                    ,503,8889,16166,38726,16495,80779
Barbican                           ,93,1253,4071,6937,3622,15976
Barking                            ,2222,7900,6209,4074,1984,22389
Barkingside                        ,214,946,364,246,83,1853
Barons Court                       ,270,3814,3134,2786,1260,11264
Bayswater                          ,124,1766,3087,1781,1632,8390
Becontree                          ,695,1796,1015,474,245,4225
Belsize Park                       ,247,2977,2986,2697,1380,10287
Bermondsey                         ,603,3785,2788,2734,1323,11233
Bethnal Green                      ,756,7517,7036,5426,3407,24142
Blackfriars                        ,0,0,0,0,0,0
Blackhorse Road                    ,1156,4403,2411,1435,702,10107
Bond Street                        ,225,2260,16468,25355,15356,59664
Borough                            ,123,1390,2422,2943,1212,8090
Boston Manor                       ,203,1121,839,596,238,2997
Bounds Green                       ,693,3966,2147,1142,655,8603
Bow Road                           ,324,3260,2501,1649,752,8486
Brent Cross                        ,246,1282,945,566,351,3390
Brixton                            ,1580,15327,7699,4974,6398,35978
Bromley-by-Bow                     ,252,1160,1259,1157,528,4356
Buckhurst Hill                     ,323,1719,548,316,155,3061
Burnt Oak                          ,718,2778,1430,708,347,5981
Caledonian Road                    ,247,2676,2358,2093,1079,8453
Camden Town                        ,267,3093,8285,9404,6926,27975
Canada Water                       ,765,5676,3630,2224,1523,13818
Canary Wharf                       ,822,6481,12975,37524,15437,73239
Canning Town                       ,1713,4558,3383,2101,1353,13108
Cannon Street                      ,78,2698,1910,2852,721,8259
Canons Park                        ,231,1527,557,386,133,2834
Chalfont & Latimer                 ,240,855,481,329,66,1971
Chalk Farm                         ,199,2278,1984,1892,1996,8349
Chancery Lane                      ,94,1102,7735,13179,5198,27308
Charing Cross                      ,620,7150,8880,9170,7393,33213
Chesham                            ,114,469,174,123,34,914
Chigwell                           ,51,439,206,126,37,859
Chiswick Park                      ,109,1096,689,844,330,3068
Chorleywood                        ,153,858,290,221,66,1588
Clapham Common                     ,622,5017,2970,2500,1978,13087
Clapham North                      ,470,3136,1710,1265,1121,7702
Clapham South                      ,710,6434,2512,1698,975,12329
Cockfosters                        ,179,957,841,512,138,2627
Colindale                          ,472,2577,1770,1289,465,6573
Colliers Wood                      ,768,4414,1992,1136,701,9011
Covent Garden                      ,23,456,6896,7490,10168,25033
Croxley                            ,144,681,294,211,58,1388
Dagenham East                      ,572,1531,862,444,237,3646
Dagenham Heathway                  ,1031,2631,2026,1020,497,7205
Debden                             ,348,1347,1078,813,175,3761
Dollis Hill                        ,300,2014,1495,1075,485,5369
Ealing Broadway                    ,1539,10628,6776,5786,2428,27157
Ealing Common                      ,275,1903,1263,998,533,4972
Earl's Court                       ,770,8727,9321,7378,5179,31375
East Acton                         ,282,1823,1553,1267,505,5430
East Finchley                      ,499,5340,2481,1481,731,10532
East Ham                           ,2250,7529,6408,3030,1716,20933
East Putney                        ,351,3636,1795,1708,777,8267
Eastcote                           ,312,2032,1032,516,198,4090
Edgware                            ,419,2880,1883,1090,490,6762
Edgware Road (Bak)                 ,63,832,1832,2307,1136,6170
Edgware Road (Cir)                 ,142,1542,2757,3589,1820,9850
Elephant & Castle                  ,938,7230,9406,8499,4279,30352
Elm Park                           ,721,2216,711,320,146,4114
Embankment                         ,434,4553,7098,9891,9065,31041
Epping                             ,769,2542,958,585,197,5051
Euston                             ,836,12740,14964,12790,8428,49758
Euston Square                      ,198,3529,4369,6335,3033,17464
Fairlop                            ,157,711,315,170,93,1446
Farringdon                         ,189,1749,6701,16691,7459,32789
Finchley Central                   ,427,3864,2151,1479,742,8663
Finchley Road                      ,368,4537,3893,3408,2387,14593
Finsbury Park                      ,1454,16644,9338,6346,3547,37329
Fulham Broadway                    ,266,3076,4455,4104,2819,14720
Gants Hill                         ,721,4260,2034,1024,495,8534
Gloucester Road                    ,491,5336,7088,5954,3860,22729
Golders Green                      ,462,4520,3757,2355,1382,12476
Goldhawk Road                      ,80,833,773,534,308,2528
Goodge Street                      ,34,622,3839,6912,4295,15702
Grange Hill                        ,94,556,155,73,34,912
Great Portland Street              ,98,1196,3158,5809,2249,12510
Green Park                         ,252,1911,11971,19749,11582,45465
Greenford                          ,735,2705,1370,851,357,6018
Gunnersbury                        ,174,1939,1521,2838,770,7242
Hainault                           ,767,2334,833,444,210,4588
Hammersmith (Dis)                  ,900,8534,11602,14943,9266,45245
Hammersmith (H&C)                  ,292,3901,4290,3913,2182,14578
Hampstead                          ,159,1940,1947,1580,981,6607
Hanger Lane                        ,456,1839,1169,1427,537,5428
Harlesden                          ,148,1021,870,1012,350,3401
Harrow & Wealdstone                ,575,3112,1727,1321,427,7162
Harrow-on-the-Hill                 ,736,4721,3857,3096,1155,13565
Hatton Cross                       ,376,1185,1252,1189,432,4434
Heathrow Terminals 123             ,384,1671,4094,2284,2826,11259
Heathrow Terminal 4                ,98,528,895,664,800,2985
Heathrow Terminal 5                ,187,722,1748,871,1112,4640
Hendon Central                     ,547,3499,3211,2229,1106,10592
High Barnet                        ,302,2176,1138,837,361,4814
